0;Tageswerte 24 Std
0;Automatische Verkehrszählung
0;10904
0;10904
0;01.01.2018
0;31.12.2018
0;nicht klassifiziert
0;bis 12 Kanäle
LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;10904;St.Gallen Stadt Heiligkreuz;01.01.2018;Montag;1;100;147;132;66;59;49;66;29;44;67;128;141;170;243;227;284;279;205;171;144;116;82;59;38
1;10904;St.Gallen Stadt Heiligkreuz;01.01.2018;Montag;2;32;67;51;35;8;11;29;13;13;27;47;64;63;94;101;103;101;107;62;55;53;34;19;14
2;10904;St.Gallen Stadt Heiligkreuz;01.01.2018;Montag;4;167;214;194;101;108;68;63;54;53;77;130;190;258;286;357;378;423;323;249;237;195;138;120;85
3;10904;St.Gallen Stadt Heiligkreuz;02.01.2018;Dienstag;1;32;17;10;16;27;55;117;171;177;242;273;280;273;393;412;321;317;277;212;191;121;103;59;41
4;10904;St.Gallen Stadt Heiligkreuz;02.01.2018;Dienstag;2;14;11;4;2;9;17;81;95;102;111;163;165;127;160;182;180;155;137;86;62;52;51;23;20
5;10904;St.Gallen Stadt Heiligkreuz;02.01.2018;Dienstag;4;60;33;24;27;21;39;163;173;201;279;358;454;422;466;515;589;615;581;479;322;221;162;139;86
6;10904;St.Gallen Stadt Heiligkreuz;03.01.2018;Mittwoch;1;25;14;14;19;50;95;287;385;290;280;275;250;226;382;360;283;330;323;274;187;133;105;64;33
7;10904;St.Gallen Stadt Heiligkreuz;03.01.2018;Mittwoch;2;9;10;3;2;11;34;181;198;131;118;137;128;126;159;154;181;167;157;114;74;66;44;30;12
8;10904;St.Gallen Stadt Heiligkreuz;03.01.2018;Mittwoch;4;48;32;21;18;26;60;258;306;235;296;393;510;422;428;481;525;687;741;524;308;245;186;168;82
9;10904;St.Gallen Stadt Heiligkreuz;04.01.2018;Donnerstag;1;22;16;11;19;49;94;306;379;301;301;284;263;270;359;366;337;305;334;304;236;148;111;94;50
10;10904;St.Gallen Stadt Heiligkreuz;04.01.2018;Donnerstag;2;8;10;9;5;9;38;177;216;166;118;153;160;146;200;202;157;167;194;154;89;63;45;40;16
11;10904;St.Gallen Stadt Heiligkreuz;04.01.2018;Donnerstag;4;48;33;22;27;27;69;257;336;269;370;414;537;450;457;505;521;737;768;557;415;315;208;181;114
12;10904;St.Gallen Stadt Heiligkreuz;05.01.2018;Freitag;1;33;17;18;24;55;99;279;375;323;296;325;334;279;421;399;338;363;345;309;252;169;127;108;83
