0;Tageswerte 24 Std
0;Automatische Verkehrszählung
0;10918
0;10918
0;01.01.2018
0;31.12.2018
0;nicht klassifiziert
0;HR
LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;10918;St.Gallen Gallusst./Webergasse;01.01.2018;Montag;1;11;24;12;6;6;7;8;8;13;12;17;14;21;21;23;30;18;20;37;22;20;11;14;4
1;10918;St.Gallen Gallusst./Webergasse;02.01.2018;Dienstag;1;3;2;0;3;3;9;21;37;35;42;33;43;36;34;33;41;48;49;54;20;13;15;15;10
2;10918;St.Gallen Gallusst./Webergasse;03.01.2018;Mittwoch;1;4;3;4;2;3;18;39;48;64;58;70;73;50;69;59;54;43;59;54;32;8;16;16;11
3;10918;St.Gallen Gallusst./Webergasse;04.01.2018;Donnerstag;1;2;0;1;8;5;20;32;59;69;85;100;71;45;77;73;76;50;64;64;36;32;24;15;16
4;10918;St.Gallen Gallusst./Webergasse;05.01.2018;Freitag;1;2;0;1;9;4;10;38;59;70;77;68;85;49;56;70;71;74;66;55;33;17;20;20;13
5;10918;St.Gallen Gallusst./Webergasse;06.01.2018;Samstag;1;9;8;3;8;5;7;12;22;38;45;48;48;30;39;43;43;41;51;24;23;28;9;15;13
6;10918;St.Gallen Gallusst./Webergasse;07.01.2018;Sonntag;1;13;6;5;2;6;3;10;11;13;26;31;28;22;19;23;20;13;43;26;28;21;13;8;4
7;10918;St.Gallen Gallusst./Webergasse;08.01.2018;Montag;1;4;2;0;7;5;9;38;72;70;77;66;58;44;66;60;53;57;68;47;30;15;29;19;8
8;10918;St.Gallen Gallusst./Webergasse;09.01.2018;Dienstag;1;4;1;1;2;4;14;47;96;93;78;103;76;36;83;68;66;61;91;62;28;25;20;20;7
9;10918;St.Gallen Gallusst./Webergasse;10.01.2018;Mittwoch;1;1;4;2;1;7;14;43;84;86;89;79;60;46;72;71;61;89;68;76;40;22;22;19;8
10;10918;St.Gallen Gallusst./Webergasse;11.01.2018;Donnerstag;1;4;5;3;4;6;16;38;89;91;89;79;88;41;60;58;75;67;77;76;45;39;32;23;23
11;10918;St.Gallen Gallusst./Webergasse;12.01.2018;Freitag;1;2;2;0;6;4;10;44;101;88;105;89;87;60;68;80;75;83;89;79;37;26;30;23;17
12;10918;St.Gallen Gallusst./Webergasse;13.01.2018;Samstag;1;17;7;4;7;3;11;12;25;47;43;46;43;32;41;59;53;59;49;35;14;16;28;20;19
13;10918;St.Gallen Gallusst./Webergasse;14.01.2018;Sonntag;1;12;23;10;5;3;6;6;9;9;13;10;19;23;22;34;18;18;40;23;25;28;15;7;4
14;10918;St.Gallen Gallusst./Webergasse;15.01.2018;Montag;1;2;3;3;1;3;13;41;114;79;69;66;75;55;89;72;62;76;60;58;40;23;34;11;10
15;10918;St.Gallen Gallusst./Webergasse;16.01.2018;Dienstag;1;2;5;8;6;6;20;48;85;93;78;94;74;48;75;68;72;81;73;71;47;23;22;20;11
16;10918;St.Gallen Gallusst./Webergasse;17.01.2018;Mittwoch;1;5;9;3;2;8;20;48;101;86;100;91;72;50;83;81;71;80;72;74;47;30;13;17;6
17;10918;St.Gallen Gallusst./Webergasse;18.01.2018;Donnerstag;1;4;4;4;6;4;15;38;86;85;100;115;60;53;87;71;61;71;79;64;38;35;31;24;13
18;10918;St.Gallen Gallusst./Webergasse;19.01.2018;Freitag;1;1;3;4;4;4;17;45;99;89;103;105;98;43;72;76;79;84;76;72;42;23;22;18;27
19;10918;St.Gallen Gallusst./Webergasse;20.01.2018;Samstag;1;10;6;8;3;9;14;25;22;41;52;54;53;33;53;46;44;45;62;53;32;21;22;22;19
20;10918;St.Gallen Gallusst./Webergasse;21.01.2018;Sonntag;1;14;15;12;7;5;3;5;18;10;24;40;27;24;37;33;28;39;29;16;27;21;12;7;5
21;10918;St.Gallen Gallusst./Webergasse;22.01.2018;Montag;1;3;2;6;3;6;18;31;79;75;72;93;71;56;68;87;58;74;75;61;40;19;19;18;12
22;10918;St.Gallen Gallusst./Webergasse;23.01.2018;Dienstag;1;2;1;1;6;6;17;46;95;85;91;107;90;48;67;67;77;75;67;77;48;27;16;15;16
23;10918;St.Gallen Gallusst./Webergasse;24.01.2018;Mittwoch;1;5;2;0;4;2;18;45;82;79;89;90;91;58;71;78;62;78;77;77;47;27;19;20;12
24;10918;St.Gallen Gallusst./Webergasse;25.01.2018;Donnerstag;1;5;3;3;2;0;16;44;88;71;92;96;94;49;78;65;77;64;95;75;48;33;20;25;11
25;10918;St.Gallen Gallusst./Webergasse;26.01.2018;Freitag;1;6;3;2;3;2;16;40;87;83;94;88;88;57;67;83;77;83;78;68;45;29;15;18;13
26;10918;St.Gallen Gallusst./Webergasse;27.01.2018;Samstag;1;13;9;10;3;4;12;21;23;37;47;46;46;36;36;39;44;41;34;43;30;12;11;17;10
27;10918;St.Gallen Gallusst./Webergasse;28.01.2018;Sonntag;1;13;6;4;3;4;3;8;5;9;16;19;21;23;17;19;20;20;25;25;19;18;10;6;7
28;10918;St.Gallen Gallusst./Webergasse;29.01.2018;Montag;1;2;1;0;0;3;16;36;73;78;63;70;69;47;82;59;54;63;70;53;31;25;13;12;4
29;10918;St.Gallen Gallusst./Webergasse;30.01.2018;Dienstag;1;2;0;2;4;8;16;43;81;80;86;83;128;51;74;64;62;71;62;63;31;28;14;8;15
30;10918;St.Gallen Gallusst./Webergasse;31.01.2018;Mittwoch;1;4;2;5;7;6;12;58;71;72;73;84;73;44;71;56;49;78;68;49;40;23;23;4;5
31;10918;St.Gallen Gallusst./Webergasse;01.02.2018;Donnerstag;1;4;5;3;1;5;16;42;88;94;84;100;82;54;68;74;61;57;68;55;47;23;21;16;17
32;10918;St.Gallen Gallusst./Webergasse;02.02.2018;Freitag;1;5;0;3;7;6;9;41;73;94;77;78;79;46;78;84;62;64;64;55;38;18;19;22;12
33;10918;St.Gallen Gallusst./Webergasse;03.02.2018;Samstag;1;11;5;10;8;2;14;10;17;40;42;39;30;34;39;37;40;33;42;41;26;16;16;17;12
34;10918;St.Gallen Gallusst./Webergasse;04.02.2018;Sonntag;1;13;5;9;6;8;7;9;6;21;21;22;21;27;16;17;22;21;32;29;32;17;17;10;4
35;10918;St.Gallen Gallusst./Webergasse;05.02.2018;Montag;1;4;2;4;1;4;12;36;76;76;70;77;79;64;82;65;78;81;70;56;43;20;20;9;6
36;10918;St.Gallen Gallusst./Webergasse;06.02.2018;Dienstag;1;3;1;0;4;3;14;44;84;97;98;86;89;53;86;77;53;66;75;79;54;27;18;20;10
37;10918;St.Gallen Gallusst./Webergasse;07.02.2018;Mittwoch;1;6;1;1;3;3;16;33;95;99;94;92;110;65;83;74;71;61;72;78;37;28;19;21;14
38;10918;St.Gallen Gallusst./Webergasse;08.02.2018;Donnerstag;1;2;3;2;4;3;22;46;95;104;91;82;67;50;66;79;72;58;75;76;33;35;27;22;18
39;10918;St.Gallen Gallusst./Webergasse;09.02.2018;Freitag;1;10;8;2;4;0;12;32;92;79;101;87;93;63;60;67;84;90;80;63;46;27;23;12;25
40;10918;St.Gallen Gallusst./Webergasse;10.02.2018;Samstag;1;18;13;7;12;2;7;21;20;37;52;47;56;29;35;48;40;48;26;44;29;27;27;29;13
41;10918;St.Gallen Gallusst./Webergasse;11.02.2018;Sonntag;1;17;20;11;10;11;7;7;15;5;17;18;17;34;30;57;36;34;28;25;22;25;12;8;3
42;10918;St.Gallen Gallusst./Webergasse;12.02.2018;Montag;1;0;1;1;2;3;15;44;78;60;86;74;81;48;68;66;53;70;61;98;185;56;34;12;13
43;10918;St.Gallen Gallusst./Webergasse;13.02.2018;Dienstag;1;6;3;3;0;8;13;56;93;101;67;99;87;46;62;73;57;64;79;71;38;29;12;17;13
44;10918;St.Gallen Gallusst./Webergasse;14.02.2018;Mittwoch;1;4;6;5;3;0;11;43;84;94;71;99;109;45;81;85;50;57;78;72;47;31;25;16;12
45;10918;St.Gallen Gallusst./Webergasse;15.02.2018;Donnerstag;1;4;2;3;1;3;10;36;84;86;106;83;82;50;93;77;58;81;80;71;49;39;27;24;11
46;10918;St.Gallen Gallusst./Webergasse;16.02.2018;Freitag;1;1;5;3;2;5;16;47;77;88;81;98;91;46;86;87;62;56;85;57;42;23;14;22;14
47;10918;St.Gallen Gallusst./Webergasse;17.02.2018;Samstag;1;10;4;5;4;2;12;14;22;43;64;56;39;34;69;49;51;70;54;50;25;27;21;24;17
48;10918;St.Gallen Gallusst./Webergasse;18.02.2018;Sonntag;1;18;11;11;4;5;7;10;28;23;18;32;27;24;29;21;22;30;51;33;22;21;14;8;8
49;10918;St.Gallen Gallusst./Webergasse;19.02.2018;Montag;1;2;1;1;4;6;7;36;83;68;55;80;53;42;72;59;52;86;73;61;44;20;20;16;11
50;10918;St.Gallen Gallusst./Webergasse;20.02.2018;Dienstag;1;6;1;1;0;1;12;41;95;93;98;92;83;49;83;74;64;67;70;110;48;35;23;17;12
51;10918;St.Gallen Gallusst./Webergasse;21.02.2018;Mittwoch;1;5;2;2;2;9;14;51;80;94;75;88;91;63;67;63;58;63;72;60;40;19;26;9;23
52;10918;St.Gallen Gallusst./Webergasse;22.02.2018;Donnerstag;1;5;4;4;2;6;12;31;92;109;81;93;82;41;80;68;63;69;81;77;48;30;27;20;12
53;10918;St.Gallen Gallusst./Webergasse;23.02.2018;Freitag;1;5;4;2;6;3;10;45;76;110;85;80;96;49;70;74;70;75;76;70;51;18;23;22;31
54;10918;St.Gallen Gallusst./Webergasse;24.02.2018;Samstag;1;18;11;5;5;5;10;17;18;57;60;61;68;40;43;63;47;59;57;43;41;24;22;18;23
55;10918;St.Gallen Gallusst./Webergasse;25.02.2018;Sonntag;1;20;11;4;5;5;2;11;12;15;18;72;33;41;47;24;18;30;29;33;31;17;6;9;5
56;10918;St.Gallen Gallusst./Webergasse;26.02.2018;Montag;1;3;4;1;2;6;13;35;82;71;79;65;58;50;60;74;64;69;81;63;38;28;24;13;7
57;10918;St.Gallen Gallusst./Webergasse;27.02.2018;Dienstag;1;1;1;2;2;2;11;45;88;92;76;91;87;44;77;70;77;69;72;56;46;40;20;20;14
58;10918;St.Gallen Gallusst./Webergasse;28.02.2018;Mittwoch;1;4;1;2;1;2;13;39;92;95;85;105;74;63;59;76;60;76;79;55;54;34;30;20;15
59;10918;St.Gallen Gallusst./Webergasse;01.03.2018;Donnerstag;1;6;2;1;0;1;13;37;89;104;99;99;79;41;78;71;65;70;69;62;49;35;30;30;13
60;10918;St.Gallen Gallusst./Webergasse;02.03.2018;Freitag;1;9;4;1;3;3;10;37;93;72;107;103;90;56;76;77;71;87;83;77;37;29;24;19;21
61;10918;St.Gallen Gallusst./Webergasse;03.03.2018;Samstag;1;13;10;8;6;3;17;25;34;57;56;53;44;32;35;37;68;45;51;42;28;27;23;24;25
62;10918;St.Gallen Gallusst./Webergasse;04.03.2018;Sonntag;1;20;6;3;13;6;5;12;11;32;33;25;25;22;25;15;23;27;12;27;24;18;9;5;2
63;10918;St.Gallen Gallusst./Webergasse;05.03.2018;Montag;1;2;1;1;2;2;13;33;73;83;85;80;50;54;73;62;59;46;67;50;46;25;20;9;9
64;10918;St.Gallen Gallusst./Webergasse;06.03.2018;Dienstag;1;0;3;2;4;2;13;47;96;97;80;93;87;46;75;70;66;64;71;60;54;37;27;23;17
65;10918;St.Gallen Gallusst./Webergasse;07.03.2018;Mittwoch;1;4;4;1;2;3;11;42;70;85;100;97;74;49;86;74;71;67;73;67;45;28;33;19;7
66;10918;St.Gallen Gallusst./Webergasse;08.03.2018;Donnerstag;1;5;3;1;2;2;11;41;80;90;83;77;83;46;66;79;66;65;108;64;47;29;23;19;15
67;10918;St.Gallen Gallusst./Webergasse;09.03.2018;Freitag;1;4;6;0;0;2;10;41;87;79;100;93;93;51;86;61;68;91;77;76;49;32;31;23;19
68;10918;St.Gallen Gallusst./Webergasse;10.03.2018;Samstag;1;11;4;3;6;3;7;14;23;56;64;43;41;38;42;33;40;49;64;41;24;12;12;16;10
69;10918;St.Gallen Gallusst./Webergasse;11.03.2018;Sonntag;1;9;8;8;6;3;2;10;15;7;31;26;41;21;19;24;27;26;39;27;37;24;12;7;3
70;10918;St.Gallen Gallusst./Webergasse;12.03.2018;Montag;1;2;1;3;1;5;9;41;67;80;66;77;60;42;78;78;53;71;67;39;39;28;21;14;8
71;10918;St.Gallen Gallusst./Webergasse;13.03.2018;Dienstag;1;1;5;3;4;4;14;47;74;85;84;84;73;60;76;71;61;82;89;61;45;26;19;18;8
72;10918;St.Gallen Gallusst./Webergasse;14.03.2018;Mittwoch;1;3;3;0;3;5;7;49;96;88;80;69;99;53;85;79;84;74;76;70;46;44;26;16;12
73;10918;St.Gallen Gallusst./Webergasse;15.03.2018;Donnerstag;1;5;4;2;6;4;13;40;85;106;77;101;96;65;96;87;70;97;91;64;39;39;36;19;13
74;10918;St.Gallen Gallusst./Webergasse;16.03.2018;Freitag;1;2;4;5;6;11;18;38;75;81;91;73;88;58;77;71;66;84;60;62;48;34;18;25;10
75;10918;St.Gallen Gallusst./Webergasse;17.03.2018;Samstag;1;8;13;6;4;5;7;26;28;42;54;54;48;45;36;30;38;47;44;61;33;14;34;18;22
76;10918;St.Gallen Gallusst./Webergasse;18.03.2018;Sonntag;1;8;8;7;5;5;7;10;13;23;18;27;19;31;22;28;25;20;30;23;30;16;18;9;4
77;10918;St.Gallen Gallusst./Webergasse;19.03.2018;Montag;1;2;4;1;1;5;11;43;78;86;81;79;60;47;64;59;68;66;72;70;29;28;21;19;7
78;10918;St.Gallen Gallusst./Webergasse;20.03.2018;Dienstag;1;2;0;0;2;4;16;46;81;80;64;90;59;48;66;68;66;53;72;53;59;18;23;14;14
79;10918;St.Gallen Gallusst./Webergasse;21.03.2018;Mittwoch;1;4;4;2;2;8;17;48;78;97;100;95;88;48;80;75;72;69;69;58;41;28;20;17;17
80;10918;St.Gallen Gallusst./Webergasse;22.03.2018;Donnerstag;1;4;2;0;5;1;10;40;85;77;91;97;95;50;69;65;62;70;85;62;48;39;31;21;21
81;10918;St.Gallen Gallusst./Webergasse;23.03.2018;Freitag;1;7;3;5;1;10;9;45;77;91;89;80;77;59;65;88;67;79;80;68;57;36;24;28;15
82;10918;St.Gallen Gallusst./Webergasse;24.03.2018;Samstag;1;15;7;6;5;10;9;15;24;47;40;51;53;55;35;38;38;40;55;74;30;22;14;14;17
83;10918;St.Gallen Gallusst./Webergasse;25.03.2018;Sonntag;1;17;0;18;4;3;3;7;16;24;29;37;32;48;30;22;21;46;22;31;40;19;20;11;8
84;10918;St.Gallen Gallusst./Webergasse;26.03.2018;Montag;1;2;2;4;0;3;9;28;84;72;65;64;73;52;77;62;85;81;79;73;35;30;19;11;9
85;10918;St.Gallen Gallusst./Webergasse;27.03.2018;Dienstag;1;1;3;0;2;6;12;40;108;94;93;102;95;48;77;94;66;79;102;79;37;28;20;24;17
86;10918;St.Gallen Gallusst./Webergasse;28.03.2018;Mittwoch;1;5;4;1;2;2;17;42;111;104;86;101;106;65;74;73;76;80;88;71;37;29;32;27;21
87;10918;St.Gallen Gallusst./Webergasse;29.03.2018;Donnerstag;1;3;5;0;4;1;16;43;85;111;118;106;125;62;87;81;93;116;89;67;41;43;25;23;15
88;10918;St.Gallen Gallusst./Webergasse;30.03.2018;Freitag;1;7;6;5;5;2;2;11;7;14;24;14;28;14;28;29;15;26;30;32;22;21;20;14;18
89;10918;St.Gallen Gallusst./Webergasse;31.03.2018;Samstag;1;8;5;10;8;7;7;17;18;36;71;55;56;49;37;47;48;47;44;41;36;43;33;30;26
90;10918;St.Gallen Gallusst./Webergasse;01.04.2018;Sonntag;1;11;10;3;2;8;1;6;18;25;30;47;17;23;19;37;28;27;23;29;22;20;22;9;6
91;10918;St.Gallen Gallusst./Webergasse;02.04.2018;Montag;1;6;4;3;1;1;2;4;10;12;20;28;35;27;15;23;13;29;26;14;15;20;19;6;3
92;10918;St.Gallen Gallusst./Webergasse;03.04.2018;Dienstag;1;1;2;0;2;3;14;49;101;86;89;82;66;53;80;70;65;84;120;71;38;36;18;17;9
93;10918;St.Gallen Gallusst./Webergasse;04.04.2018;Mittwoch;1;6;1;2;5;6;12;41;98;89;95;100;87;68;97;77;62;81;81;56;46;21;24;12;10
94;10918;St.Gallen Gallusst./Webergasse;05.04.2018;Donnerstag;1;2;1;1;2;6;18;43;88;93;87;89;89;54;101;80;63;93;80;69;47;34;32;20;6
95;10918;St.Gallen Gallusst./Webergasse;06.04.2018;Freitag;1;5;2;3;2;6;12;44;88;106;86;109;110;53;87;76;66;96;73;66;47;26;22;24;18
96;10918;St.Gallen Gallusst./Webergasse;07.04.2018;Samstag;1;15;6;4;2;2;10;21;28;45;53;49;51;39;35;41;54;48;41;39;27;16;17;7;13
97;10918;St.Gallen Gallusst./Webergasse;08.04.2018;Sonntag;1;20;5;5;5;5;4;7;14;22;17;17;18;34;20;20;14;21;28;24;16;23;10;12;6
98;10918;St.Gallen Gallusst./Webergasse;09.04.2018;Montag;1;1;0;0;1;2;10;42;89;80;76;74;86;46;69;68;54;66;54;56;30;19;20;7;3
99;10918;St.Gallen Gallusst./Webergasse;10.04.2018;Dienstag;1;4;1;4;6;1;16;46;77;70;85;82;90;36;69;64;69;82;66;49;41;28;30;17;9
100;10918;St.Gallen Gallusst./Webergasse;11.04.2018;Mittwoch;1;5;5;1;3;0;12;40;70;79;80;86;86;43;72;61;75;63;75;58;34;18;19;20;15
101;10918;St.Gallen Gallusst./Webergasse;12.04.2018;Donnerstag;1;6;2;1;5;2;12;41;76;86;82;98;78;44;94;71;57;77;72;46;31;35;23;17;14
102;10918;St.Gallen Gallusst./Webergasse;13.04.2018;Freitag;1;5;2;2;3;6;15;40;76;98;85;119;76;54;68;62;59;59;58;51;29;21;18;16;19
103;10918;St.Gallen Gallusst./Webergasse;14.04.2018;Samstag;1;13;3;5;3;5;30;61;55;58;37;40;32;29;26;37;49;78;84;45;27;25;19;20;16
104;10918;St.Gallen Gallusst./Webergasse;15.04.2018;Sonntag;1;6;7;8;7;9;3;12;11;13;20;23;28;16;21;21;29;40;57;26;19;24;14;7;4
