LNR	ORT-ID	BEZEICHNUNG	DATUM	WOCHENTAG	RI	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
0	10920	St.Gallen Stadt M?ler-Fried.2	15.01.2018	Montag	1	6	3	5	5	5	22	74	157	141	107	114	113	104	134	94	108	121	110	145	80	43	31	34	17
1	10920	St.Gallen Stadt M?ler-Fried.2	15.01.2018	Montag	2	2	2	2	2	2	10	44	118	110	56	78	90	81	89	65	82	69	91	109	64	40	39	34	15
2	10920	St.Gallen Stadt M?ler-Fried.2	16.01.2018	Dienstag	1	9	6	5	4	7	15	66	151	136	109	117	117	77	121	127	112	131	155	167	84	58	44	31	17
3	10920	St.Gallen Stadt M?ler-Fried.2	16.01.2018	Dienstag	2	6	4	1	1	4	8	46	114	99	71	85	86	101	97	78	71	75	102	104	84	62	46	27	16
4	10920	St.Gallen Stadt M?ler-Fried.2	17.01.2018	Mittwoch	1	11	3	4	2	7	18	75	173	159	98	111	144	97	144	94	113	135	131	153	91	69	50	31	21
5	10920	St.Gallen Stadt M?ler-Fried.2	17.01.2018	Mittwoch	2	9	1	1	1	1	11	43	131	97	73	84	94	89	114	77	73	79	93	107	72	52	47	37	20
6	10920	St.Gallen Stadt M?ler-Fried.2	18.01.2018	Donnerstag	1	15	4	1	5	7	13	78	138	141	120	92	84	94	118	107	109	109	179	149	102	67	50	23	24
7	10920	St.Gallen Stadt M?ler-Fried.2	18.01.2018	Donnerstag	2	7	3	1	1	4	11	56	122	105	69	78	75	86	79	64	71	87	87	94	70	63	54	31	18
8	10920	St.Gallen Stadt M?ler-Fried.2	19.01.2018	Freitag	1	16	2	5	6	4	21	76	135	132	100	122	114	89	132	119	97	145	117	144	104	61	52	58	45
9	10920	St.Gallen Stadt M?ler-Fried.2	19.01.2018	Freitag	2	10	1	1	2	3	12	44	98	95	71	103	96	85	86	86	69	85	87	107	68	44	49	55	36
10	10920	St.Gallen Stadt M?ler-Fried.2	20.01.2018	Samstag	1	26	23	23	12	9	20	39	53	94	100	127	93	90	97	86	108	110	98	100	64	37	37	47	33
11	10920	St.Gallen Stadt M?ler-Fried.2	20.01.2018	Samstag	2	13	23	16	3	6	9	17	24	41	58	56	77	76	70	81	96	82	91	55	50	32	37	42	28
12	10920	St.Gallen Stadt M?ler-Fried.2	21.01.2018	Sonntag	1	36	32	17	11	10	19	12	17	34	34	65	55	44	57	69	88	75	72	60	64	36	28	22	20
13	10920	St.Gallen Stadt M?ler-Fried.2	21.01.2018	Sonntag	2	22	22	11	9	5	5	9	12	19	17	45	49	64	66	68	63	51	62	54	50	35	21	20	8
14	10920	St.Gallen Stadt M?ler-Fried.2	22.01.2018	Montag	1	10	4	2	4	7	14	75	155	141	113	107	97	80	115	114	118	126	136	133	80	53	40	28	15
15	10920	St.Gallen Stadt M?ler-Fried.2	22.01.2018	Montag	2	7	4	1	1	4	11	38	140	93	66	76	80	72	75	78	93	72	106	110	73	45	31	35	8
16	10920	St.Gallen Stadt M?ler-Fried.2	23.01.2018	Dienstag	1	11	6	1	2	6	22	78	153	147	122	72	141	78	145	95	110	139	156	137	90	58	41	31	23
17	10920	St.Gallen Stadt M?ler-Fried.2	23.01.2018	Dienstag	2	3	5	0	0	4	10	49	134	121	66	83	93	76	79	64	76	85	111	105	84	52	35	39	18
18	10920	St.Gallen Stadt M?ler-Fried.2	24.01.2018	Mittwoch	1	12	3	4	6	5	27	67	151	140	98	90	137	109	108	123	112	136	153	141	101	65	54	30	26
19	10920	St.Gallen Stadt M?ler-Fried.2	24.01.2018	Mittwoch	2	5	3	3	2	3	12	43	110	91	53	75	88	86	98	85	97	76	98	118	73	51	46	33	21
20	10920	St.Gallen Stadt M?ler-Fried.2	25.01.2018	Donnerstag	1	10	6	1	6	3	17	74	142	144	139	99	132	111	133	108	98	116	151	137	100	64	47	33	28
21	10920	St.Gallen Stadt M?ler-Fried.2	25.01.2018	Donnerstag	2	8	4	0	3	1	9	48	126	89	68	77	92	91	98	73	75	89	118	92	73	43	65	36	29
22	10920	St.Gallen Stadt M?ler-Fried.2	26.01.2018	Freitag	1	19	6	1	8	8	13	61	125	137	100	127	112	89	136	112	115	131	118	126	90	51	41	30	37
23	10920	St.Gallen Stadt M?ler-Fried.2	26.01.2018	Freitag	2	12	5	0	5	3	8	39	109	97	76	68	86	91	111	85	101	108	87	103	64	53	49	26	21
24	10920	St.Gallen Stadt M?ler-Fried.2	27.01.2018	Samstag	1	16	15	13	4	18	14	34	44	64	81	109	97	94	103	91	78	79	89	70	54	39	28	25	28
25	10920	St.Gallen Stadt M?ler-Fried.2	27.01.2018	Samstag	2	18	20	9	2	5	9	22	27	46	56	59	76	63	80	75	62	64	76	48	42	31	24	44	27
26	10920	St.Gallen Stadt M?ler-Fried.2	28.01.2018	Sonntag	1	19	22	10	11	16	11	11	17	24	58	56	56	62	57	66	69	64	58	51	60	38	41	32	25
27	10920	St.Gallen Stadt M?ler-Fried.2	28.01.2018	Sonntag	2	24	13	12	8	10	5	5	14	16	21	35	39	39	48	55	49	57	61	42	42	38	21	12	10
28	10920	St.Gallen Stadt M?ler-Fried.2	29.01.2018	Montag	1	11	4	4	3	6	23	54	128	96	91	111	103	97	95	102	93	96	127	114	63	52	32	35	18
29	10920	St.Gallen Stadt M?ler-Fried.2	29.01.2018	Montag	2	6	2	0	2	2	10	36	104	87	44	74	69	77	78	70	64	58	75	75	56	33	30	18	14
30	10920	St.Gallen Stadt M?ler-Fried.2	30.01.2018	Dienstag	1	9	1	2	3	7	21	58	92	103	90	109	133	97	96	95	92	114	127	121	64	44	32	28	23
31	10920	St.Gallen Stadt M?ler-Fried.2	30.01.2018	Dienstag	2	5	2	1	1	3	10	43	85	78	66	63	59	80	72	88	70	74	79	87	63	51	34	27	15
32	10920	St.Gallen Stadt M?ler-Fried.2	31.01.2018	Mittwoch	1	18	5	8	12	11	28	50	106	113	85	99	113	95	105	110	93	110	127	104	81	59	42	34	18
33	10920	St.Gallen Stadt M?ler-Fried.2	31.01.2018	Mittwoch	2	10	3	5	7	4	13	37	84	71	64	68	72	81	82	59	66	58	80	77	58	48	44	28	18
34	10920	St.Gallen Stadt M?ler-Fried.2	05.03.2018	Montag	1	10	2	3	5	4	22	69	148	138	113	118	113	108	153	100	112	116	153	135	84	65	46	44	31
35	10920	St.Gallen Stadt M?ler-Fried.2	05.03.2018	Montag	2	8	0	3	4	2	10	38	101	89	80	78	99	78	97	94	73	77	97	104	76	44	41	36	16
36	10920	St.Gallen Stadt M?ler-Fried.2	06.03.2018	Dienstag	1	9	3	4	2	5	18	64	148	151	131	115	105	86	132	135	99	116	158	139	133	82	64	62	34
37	10920	St.Gallen Stadt M?ler-Fried.2	06.03.2018	Dienstag	2	6	3	2	4	3	7	43	110	98	75	81	77	88	81	79	61	78	118	103	68	72	44	48	19
38	10920	St.Gallen Stadt M?ler-Fried.2	07.03.2018	Mittwoch	1	25	6	1	4	4	23	75	129	141	118	121	131	120	163	138	120	142	165	152	107	83	77	41	20
39	10920	St.Gallen Stadt M?ler-Fried.2	07.03.2018	Mittwoch	2	9	4	0	5	1	5	38	96	109	78	94	109	97	89	91	81	95	110	110	81	61	57	56	20
40	10920	St.Gallen Stadt M?ler-Fried.2	08.03.2018	Donnerstag	1	17	11	7	5	11	18	64	147	154	112	120	115	109	139	101	122	136	157	151	87	77	52	45	40
41	10920	St.Gallen Stadt M?ler-Fried.2	08.03.2018	Donnerstag	2	13	8	2	6	3	10	42	101	118	82	76	90	98	106	90	81	95	119	92	81	57	58	39	30
