LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1;10935;St.Gallen Stadt Schwarzer BÃ¤re;01.01.2018;Montag;1;47;41;36;25;18;24;21;19;12;24;42;42;62;99;107;129;134;97;55;47;30;15;14;6
2;10935;St.Gallen Stadt Schwarzer BÃ¤re;01.01.2018;Montag;2;26;40;39;19;13;21;11;12;16;20;22;61;81;105;102;100;95;82;45;57;39;30;18;14
3;10935;St.Gallen Stadt Schwarzer BÃ¤re;01.01.2018;Montag;3;19;18;16;10;4;3;1;10;5;14;18;30;37;62;59;67;70;58;32;30;21;11;6;8
4;10935;St.Gallen Stadt Schwarzer BÃ¤re;01.01.2018;Montag;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;10935;St.Gallen Stadt Schwarzer BÃ¤re;01.01.2018;Montag;5;18;34;30;16;12;21;10;8;13;16;13;59;62;76;79;76;75;60;27;45;28;27;14;12
6;10935;St.Gallen Stadt Schwarzer BÃ¤re;01.01.2018;Montag;6;39;30;23;23;12;21;19;14;14;20;35;35;55;73;92;102;109;74;39;31;20;12;12;5
7;10935;St.Gallen Stadt Schwarzer BÃ¤re;02.01.2018;Dienstag;1;5;3;2;1;7;10;56;59;61;60;73;80;70;117;106;90;99;74;85;30;35;17;19;12
8;10935;St.Gallen Stadt Schwarzer BÃ¤re;02.01.2018;Dienstag;2;7;4;1;0;3;10;13;34;36;40;47;82;92;81;99;103;114;134;95;72;44;28;30;21
9;10935;St.Gallen Stadt Schwarzer BÃ¤re;02.01.2018;Dienstag;3;2;4;0;0;1;5;12;27;26;33;42;54;48;44;59;61;72;60;44;28;22;14;11;7
10;10935;St.Gallen Stadt Schwarzer BÃ¤re;02.01.2018;Dienstag;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;10935;St.Gallen Stadt Schwarzer BÃ¤re;02.01.2018;Dienstag;5;8;2;1;0;3;7;13;22;26;32;33;65;71;69;76;83;80;99;69;55;37;16;26;14
12;10935;St.Gallen Stadt Schwarzer BÃ¤re;02.01.2018;Dienstag;6;4;2;2;1;6;11;44;47;49;48;64;62;53;91;85;74;77;60;63;24;25;14;14;9
13;10935;St.Gallen Stadt Schwarzer BÃ¤re;03.01.2018;Mittwoch;1;7;0;2;5;5;23;88;150;93;87;87;83;73;120;84;117;113;103;70;64;31;11;24;11
14;10935;St.Gallen Stadt Schwarzer BÃ¤re;03.01.2018;Mittwoch;2;4;1;2;1;2;22;66;73;59;63;78;95;89;93;115;116;131;164;119;86;62;40;45;15
