LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;10941;St.Gallen Stadt Gerhaldenstr.21;10.09.2018;Montag;1;1;1;0;3;0;12;48;127;90;87;84;102;76;89;84;64;76;106;83;40;24;24;7;3
1;10941;St.Gallen Stadt Gerhaldenstr.21;10.09.2018;Montag;2;1;1;1;1;1;8;41;82;86;73;77;92;83;89;64;78;94;87;119;54;34;19;19;7
2;10941;St.Gallen Stadt Gerhaldenstr.21;11.09.2018;Dienstag;1;3;1;1;3;6;11;74;118;85;80;91;94;75;93;80;75;93;107;97;59;31;29;11;3
3;10941;St.Gallen Stadt Gerhaldenstr.21;11.09.2018;Dienstag;2;0;3;1;3;3;6;45;95;85;69;74;96;87;80;72;90;95;120;104;77;60;36;31;11
4;10941;St.Gallen Stadt Gerhaldenstr.21;12.09.2018;Mittwoch;1;1;0;1;1;3;7;63;126;107;95;86;100;63;98;97;98;106;111;84;70;18;23;14;8
5;10941;St.Gallen Stadt Gerhaldenstr.21;12.09.2018;Mittwoch;2;1;1;0;2;3;8;45;84;75;73;94;96;95;97;102;80;98;97;112;74;42;30;28;9
6;10941;St.Gallen Stadt Gerhaldenstr.21;13.09.2018;Donnerstag;1;6;1;4;2;6;12;50;121;88;88;79;102;59;93;84;86;117;110;91;51;29;24;18;4
7;10941;St.Gallen Stadt Gerhaldenstr.21;13.09.2018;Donnerstag;2;4;0;2;2;2;9;47;89;99;57;77;87;79;94;80;70;95;119;93;62;47;28;22;16
8;10941;St.Gallen Stadt Gerhaldenstr.21;14.09.2018;Freitag;1;4;4;3;0;7;12;56;114;113;99;98;79;65;81;60;84;89;77;52;33;19;19;25;15
9;10941;St.Gallen Stadt Gerhaldenstr.21;14.09.2018;Freitag;2;1;4;3;1;3;8;41;91;78;91;83;113;94;85;84;82;93;126;91;57;32;21;33;20
10;10941;St.Gallen Stadt Gerhaldenstr.21;15.09.2018;Samstag;1;9;4;8;4;4;8;23;36;76;105;101;112;60;91;91;66;77;60;40;38;22;28;20;22
11;10941;St.Gallen Stadt Gerhaldenstr.21;15.09.2018;Samstag;2;8;7;3;4;4;5;17;28;50;60;72;91;78;74;83;89;81;65;62;43;28;22;23;26
12;10941;St.Gallen Stadt Gerhaldenstr.21;16.09.2018;Sonntag;1;8;5;6;3;1;6;9;11;31;32;52;60;54;55;52;54;71;59;48;36;28;22;10;6
13;10941;St.Gallen Stadt Gerhaldenstr.21;16.09.2018;Sonntag;2;7;10;7;3;2;4;4;10;27;24;44;49;53;62;70;72;64;58;65;45;28;21;8;6
