0;Tageswerte 24 Std
0;Automatische Verkehrszählung
0;11077
0;11077
0;01.01.2018
0;31.12.2018
0;nicht klassifiziert
0;HR
LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;11077;St.Gallen Stadt Bildweiherstr.;01.01.2018;Montag;1;32;43;37;22;11;11;12;19;14;29;48;56;63;88;105;83;111;65;73;52;40;38;32;17
1;11077;St.Gallen Stadt Bildweiherstr.;01.01.2018;Montag;2;29;44;34;18;16;6;7;8;15;18;29;49;67;81;76;86;81;88;75;65;40;37;31;20
2;11077;St.Gallen Stadt Bildweiherstr.;02.01.2018;Dienstag;1;9;2;7;6;17;25;69;105;102;129;159;162;149;151;187;202;177;214;103;77;49;61;40;18
3;11077;St.Gallen Stadt Bildweiherstr.;02.01.2018;Dienstag;2;11;4;8;3;3;24;89;121;79;74;98;158;147;168;171;189;155;187;123;117;47;52;32;23
4;11077;St.Gallen Stadt Bildweiherstr.;03.01.2018;Mittwoch;1;12;9;4;6;15;41;143;186;159;145;175;189;193;175;197;161;254;296;129;88;49;69;30;18
5;11077;St.Gallen Stadt Bildweiherstr.;03.01.2018;Mittwoch;2;12;14;6;1;8;32;128;206;128;138;167;186;184;184;159;164;186;219;162;124;66;48;38;18
6;11077;St.Gallen Stadt Bildweiherstr.;04.01.2018;Donnerstag;1;12;5;5;4;18;40;138;205;132;165;181;192;201;224;206;188;268;282;157;93;68;62;19;29
7;11077;St.Gallen Stadt Bildweiherstr.;04.01.2018;Donnerstag;2;19;6;4;5;9;27;143;208;139;127;157;180;190;219;191;193;224;227;150;107;77;69;41;20
8;11077;St.Gallen Stadt Bildweiherstr.;05.01.2018;Freitag;1;11;8;10;7;17;39;136;207;178;169;181;229;225;170;247;228;296;255;137;87;53;50;41;28
9;11077;St.Gallen Stadt Bildweiherstr.;05.01.2018;Freitag;2;23;7;12;4;8;29;138;219;125;146;168;183;182;229;215;200;212;204;151;93;70;46;46;36
10;11077;St.Gallen Stadt Bildweiherstr.;06.01.2018;Samstag;1;22;14;12;8;8;21;45;68;99;160;176;161;143;126;151;165;126;119;133;73;47;79;47;25
11;11077;St.Gallen Stadt Bildweiherstr.;06.01.2018;Samstag;2;27;12;8;6;9;12;17;36;65;129;148;168;138;146;135;163;195;143;128;75;48;45;59;35
