LNR	ORT-ID	BEZEICHNUNG	DATUM	WOCHENTAG	RI	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
1	10943	St.Gallen Stadt Speicherstr 54	01.01.2019	Dienstag	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	10943	St.Gallen Stadt Speicherstr 54	01.01.2019	Dienstag	2	37	42	29	15	11	4	29	21	23	38	42	65	59	84	89	72	98	68	49	44	40	22	21	8
3	10943	St.Gallen Stadt Speicherstr 54	02.01.2019	Mittwoch	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	10943	St.Gallen Stadt Speicherstr 54	02.01.2019	Mittwoch	2	7	2	1	4	4	11	39	64	66	101	96	106	96	104	131	120	105	104	104	59	34	26	35	11
5	10943	St.Gallen Stadt Speicherstr 54	03.01.2019	Donnerstag	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	10943	St.Gallen Stadt Speicherstr 54	03.01.2019	Donnerstag	2	5	4	1	3	8	14	68	193	141	119	112	146	115	135	117	113	137	163	119	72	41	38	25	16
7	10943	St.Gallen Stadt Speicherstr 54	04.01.2019	Freitag	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	10943	St.Gallen Stadt Speicherstr 54	04.01.2019	Freitag	2	7	4	5	2	8	16	70	185	127	120	113	130	98	148	128	122	167	160	103	78	38	22	38	28
9	10943	St.Gallen Stadt Speicherstr 54	05.01.2019	Samstag	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	10943	St.Gallen Stadt Speicherstr 54	05.01.2019	Samstag	2	13	6	3	2	7	11	22	38	77	87	103	112	91	84	96	51	77	65	46	38	30	34	22	27
11	10943	St.Gallen Stadt Speicherstr 54	06.01.2019	Sonntag	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	10943	St.Gallen Stadt Speicherstr 54	06.01.2019	Sonntag	2	9	8	9	6	11	15	12	18	36	39	40	49	50	55	63	81	76	76	74	41	31	22	14	7
13	10943	St.Gallen Stadt Speicherstr 54	07.01.2019	Montag	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
