LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;10934;St.Gallen Stadt Speicherstr 54;01.01.2020;Mittwoch;1;107;73;46;29;17;12;12;27;14;46;62;59;86;139;154;223;255;149;53;51;45;17;16;17
1;10934;St.Gallen Stadt Speicherstr 54;01.01.2020;Mittwoch;2;51;51;39;35;17;20;16;14;24;29;60;98;118;137;202;135;99;65;56;56;34;32;20;14
2;10934;St.Gallen Stadt Speicherstr 54;02.01.2020;Donnerstag;1;4;6;4;1;6;7;40;73;73;87;108;127;124;181;236;341;305;206;90;53;45;32;23;19
3;10934;St.Gallen Stadt Speicherstr 54;02.01.2020;Donnerstag;2;5;5;1;5;3;13;29;37;52;78;127;173;203;243;245;162;144;139;91;70;69;42;46;22
4;10934;St.Gallen Stadt Speicherstr 54;03.01.2020;Freitag;1;11;4;2;5;10;17;62;111;95;110;132;113;109;147;170;151;146;123;82;55;38;39;38;31
5;10934;St.Gallen Stadt Speicherstr 54;03.01.2020;Freitag;2;16;8;2;3;10;20;30;46;52;84;113;136;127;140;140;139;160;159;123;84;58;41;35;41
6;10934;St.Gallen Stadt Speicherstr 54;04.01.2020;Samstag;1;17;9;11;8;7;6;22;47;80;98;115;125;101;110;124;109;104;95;77;69;49;36;34;33
7;10934;St.Gallen Stadt Speicherstr 54;04.01.2020;Samstag;2;26;10;14;6;12;9;16;20;44;51;82;133;112;102;135;110;148;131;92;51;48;46;53;43
8;10934;St.Gallen Stadt Speicherstr 54;05.01.2020;Sonntag;1;16;11;13;9;5;9;14;24;41;89;83;94;107;159;210;224;217;131;73;62;55;32;12;7
9;10934;St.Gallen Stadt Speicherstr 54;05.01.2020;Sonntag;2;38;23;16;13;11;9;8;27;25;58;101;147;165;205;210;144;128;114;75;80;61;36;29;11
10;10934;St.Gallen Stadt Speicherstr 54;06.01.2020;Montag;1;8;1;3;3;14;28;131;237;151;116;121;124;102;157;152;189;209;160;98;66;51;39;17;10
