LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;10936;St.Gallen Stadt Burgstr. 59;01.01.2018;Montag;1;60;72;40;42;28;26;18;20;16;24;34;41;74;76;92;110;121;99;94;55;70;43;42;26
1;10936;St.Gallen Stadt Burgstr. 59;01.01.2018;Montag;2;50;66;47;28;36;19;26;23;22;35;44;63;73;89;99;113;86;110;78;66;63;60;39;28
2;10936;St.Gallen Stadt Burgstr. 59;02.01.2018;Dienstag;1;14;6;7;3;3;16;32;58;56;78;109;143;130;158;182;175;188;154;136;116;74;59;36;20
3;10936;St.Gallen Stadt Burgstr. 59;02.01.2018;Dienstag;2;16;7;10;5;11;13;38;58;77;110;142;163;147;172;199;174;173;173;138;95;88;53;39;34
4;10936;St.Gallen Stadt Burgstr. 59;03.01.2018;Mittwoch;1;15;6;11;8;5;45;64;96;118;130;147;191;129;181;179;218;229;220;166;105;67;57;42;27
5;10936;St.Gallen Stadt Burgstr. 59;03.01.2018;Mittwoch;2;18;6;7;5;16;24;70;125;118;130;171;171;128;163;189;185;196;190;148;121;83;64;47;29
6;10936;St.Gallen Stadt Burgstr. 59;04.01.2018;Donnerstag;1;16;7;6;9;5;44;56;88;95;143;128;170;162;177;186;195;233;227;171;116;92;61;51;32
7;10936;St.Gallen Stadt Burgstr. 59;04.01.2018;Donnerstag;2;19;11;10;5;13;21;68;124;129;113;154;167;155;173;189;196;188;202;182;119;94;71;53;32
8;10936;St.Gallen Stadt Burgstr. 59;05.01.2018;Freitag;1;17;11;7;7;4;43;59;79;111;133;169;182;158;224;204;212;298;224;179;117;97;80;80;61
9;10936;St.Gallen Stadt Burgstr. 59;05.01.2018;Freitag;2;11;17;11;8;10;28;76;112;126;125;178;186;146;195;199;219;228;216;175;109;94;69;64;53
10;10936;St.Gallen Stadt Burgstr. 59;06.01.2018;Samstag;1;39;28;18;19;21;15;25;34;73;97;144;184;185;214;200;202;188;140;103;103;78;63;49;63
11;10936;St.Gallen Stadt Burgstr. 59;06.01.2018;Samstag;2;35;39;21;23;11;14;25;62;81;119;162;189;213;225;217;223;195;148;116;86;81;66;59;47
12;10936;St.Gallen Stadt Burgstr. 59;07.01.2018;Sonntag;1;45;43;36;23;6;17;12;19;28;46;66;97;98;87;105;119;150;132;116;100;72;48;48;27
13;10936;St.Gallen Stadt Burgstr. 59;07.01.2018;Sonntag;2;47;46;28;22;12;12;19;21;43;64;70;94;82;124;126;130;129;132;110;86;62;53;42;18
14;10936;St.Gallen Stadt Burgstr. 59;08.01.2018;Montag;1;8;4;4;8;8;56;93;134;150;142;139;193;171;191;170;194;250;331;185;124;97;91;41;23
15;10936;St.Gallen Stadt Burgstr. 59;08.01.2018;Montag;2;15;5;9;2;7;38;91;201;169;130;148;171;149;178;184;193;218;222;163;135;88;91;38;21
16;10936;St.Gallen Stadt Burgstr. 59;09.01.2018;Dienstag;1;8;3;3;7;8;46;89;129;150;147;163;230;174;226;173;213;271;259;172;157;102;93;65;39
17;10936;St.Gallen Stadt Burgstr. 59;09.01.2018;Dienstag;2;21;5;7;7;11;23;95;197;165;153;179;190;161;191;191;212;219;241;166;117;74;80;57;21
18;10936;St.Gallen Stadt Burgstr. 59;10.01.2018;Mittwoch;1;25;5;6;9;9;49;87;150;131;124;157;211;145;194;207;202;265;346;262;152;175;108;76;34
19;10936;St.Gallen Stadt Burgstr. 59;10.01.2018;Mittwoch;2;22;6;10;7;9;24;90;186;151;137;155;180;140;249;212;206;231;354;274;154;113;91;70;23
20;10936;St.Gallen Stadt Burgstr. 59;11.01.2018;Donnerstag;1;18;5;4;7;9;58;93;149;138;149;162;167;155;190;214;201;280;313;181;185;95;82;65;40
21;10936;St.Gallen Stadt Burgstr. 59;11.01.2018;Donnerstag;2;17;7;6;7;8;22;87;189;164;165;171;205;150;193;191;213;222;274;213;168;114;80;81;26
22;10936;St.Gallen Stadt Burgstr. 59;12.01.2018;Freitag;1;18;7;11;7;9;44;80;140;142;145;151;194;166;237;218;276;290;318;212;157;112;73;74;77
23;10936;St.Gallen Stadt Burgstr. 59;12.01.2018;Freitag;2;17;16;10;10;7;31;91;206;158;128;185;180;158;204;213;227;239;275;199;135;104;89;97;51
24;10936;St.Gallen Stadt Burgstr. 59;13.01.2018;Samstag;1;43;32;21;17;24;20;25;52;69;115;169;239;242;187;202;198;207;176;129;118;94;71;78;70
25;10936;St.Gallen Stadt Burgstr. 59;13.01.2018;Samstag;2;38;27;21;21;19;21;35;69;116;152;197;223;223;235;228;227;203;179;135;103;91;72;71;63
26;10936;St.Gallen Stadt Burgstr. 59;14.01.2018;Sonntag;1;48;43;31;29;18;18;12;21;20;58;62;90;87;124;112;107;148;136;152;114;67;70;41;21
27;10936;St.Gallen Stadt Burgstr. 59;14.01.2018;Sonntag;2;38;43;15;17;23;22;22;34;42;54;90;113;111;148;118;112;154;135;103;101;78;48;41;17
28;10936;St.Gallen Stadt Burgstr. 59;15.01.2018;Montag;1;10;7;5;7;8;50;104;160;144;125;144;176;165;178;190;191;271;289;195;145;83;61;52;21
29;10936;St.Gallen Stadt Burgstr. 59;15.01.2018;Montag;2;15;7;11;4;13;28;91;208;166;144;164;158;177;173;193;202;215;257;197;104;96;88;52;22
30;10936;St.Gallen Stadt Burgstr. 59;16.01.2018;Dienstag;1;13;5;4;6;6;44;108;134;153;136;147;204;167;188;189;200;262;286;189;137;102;67;57;34
31;10936;St.Gallen Stadt Burgstr. 59;16.01.2018;Dienstag;2;16;7;8;3;14;28;88;207;162;139;154;168;148;179;184;177;202;258;180;148;113;76;48;30
32;10936;St.Gallen Stadt Burgstr. 59;17.01.2018;Mittwoch;1;9;7;8;7;8;47;88;151;168;164;145;205;167;206;195;197;267;298;214;139;114;90;50;29
